CA1-3 Personal income summary,,,Year: 2011,,
1087,"Macon, AL",21182,585550,27644,36004
1089,"Madison, AL",340111,14149126,41601,52851
1091,"Marengo, AL",20692,692495,33467,33604
1093,"Marion, AL",30663,804490,26237,31265
1095,"Marshall, AL",94166,2876090,30543,30924
1097,"Mobile, AL",412577,13523711,32779,41722
1099,"Monroe, AL",22760,642848,28245,36617
1101,"Montgomery, AL",232032,8913225,38414,42413
1103,"Morgan, AL",119953,3946954,32904,38512
1105,"Perry, AL",10373,300205,28941,28446
1107,"Pickens, AL",19349,559387,28910,30809
1109,"Pike, AL",32915,1127970,34269,34346
1111,"Randolph, AL",22787,598458,26263,28930
1113,"Russell, AL",54572,1741956,31920,32546
1115,"St. Clair, AL",84398,2721015,32240,32629
1117,"Shelby, AL",197936,8854507,44734,44151
1119,"Sumter, AL",13478,346110,25680,31242
1121,"Talladega, AL",81664,2516897,30820,38339
1123,"Tallapoosa, AL",41623,1286125,30899,31229
1125,"Tuscaloosa, AL",197211,6848028,34724,40214
1127,"Walker, AL",66661,2210966,33167,32885
1129,"Washington, AL",17344,493907,28477,50119
1131,"Wilcox, AL",11482,298491,25996,36897
1133,"Winston, AL",24327,632067,25982,28838
2010,"Aleutian Islands Census Area, AK",(NA),(NA),(NA),(NA)
2013,"Aleutians East Borough, AK",3172,88754,27980,34485
2016,"Aleutians West Census Area, AK",5504,175274,31845,43262
2020,"Anchorage Municipality, AK",295570,15061531,50958,53301
2050,"Bethel Census Area, AK",17416,559198,32108,39239
2060,"Bristol Bay Borough, AK",1030,51219,49727,42955
2068,"Denali Borough, AK",1855,111654,60191,48430
2070,"Dillingham Census Area, AK",4975,199231,40046,39910
2090,"Fairbanks North Star Borough, AK",99192,4228145,42626,50027
2100,"Haines Borough, AK",2554,174993,68517,34221
2105,"Hoonah-Angoon Census Area, AK",2112,83017,39307,33199
2110,"Juneau City and Borough, AK",32164,1551670,48242,47795
2122,"Kenai Peninsula Borough, AK",56293,2351446,41772,43650
2130,"Ketchikan Gateway Borough, AK",13593,701814,51631,43427
2150,"Kodiak Island Borough, AK",13872,609689,43951,44163
2164,"Lake and Peninsula Borough, AK",1668,61754,37023,40176
2170,"Matanuska-Susitna Borough, AK",91946,3852961,41905,38257
2180,"Nome Census Area, AK",9856,346539,35160,43515
2185,"North Slope Borough, AK",9503,460392,48447,93708
2188,"Northwest Arctic Borough, AK",7733,268489,34720,56467
2195,"Petersburg Census Area, AK",3838,185003,48203,38234
2198,"Prince of Wales-Hyder Census Area, AK",5737,177583,30954,38309
2201,"Prince of Wales-Outer Ketchikan Census Area, AK",(NA),(NA),(NA),(NA)
2220,"Sitka City and Borough, AK",8952,394286,44044,42349
2230,"Skagway Municipality, AK",935,56739,60683,41178
2231,"Skagway-Yakutat-Angoon Census Area, AK",(NA),(NA),(NA),(NA)
2232,"Skagway-Hoonah-Angoon Census Area, AK",(NA),(NA),(NA),(NA)
2240,"Southeast Fairbanks Census Area, AK",7132,318918,44716,62548
2261,"Valdez-Cordova Census Area, AK",9770,442476,45289,49158
2270,"Wade Hampton Census Area, AK",7662,168506,21992,25817
2275,"Wrangell City and Borough, AK",2382,83965,35250,36287
2280,"Wrangell-Petersburg Census Area, AK",(NA),(NA),(NA),(NA)
2282,"Yakutat City and Borough, AK",646,26981,41766,35772
2290,"Yukon-Koyukuk Census Area, AK",5656,210736,37259,41591
2901,"Aleutian Islands Division, AK",(NA),(NA),(NA),(NA)
2903,"Angoon Division, AK",(NA),(NA),(NA),(NA)
2904,"Barrow-North Slope Division, AK",(NA),(NA),(NA),(NA)
2905,"Bethel Division, AK",(NA),(NA),(NA),(NA)
2907,"Bristol Bay Division, AK",(NA),(NA),(NA),(NA)
2908,"Cordova-McCarthy Division, AK",(NA),(NA),(NA),(NA)
